,n_period,threshold,cutoff,return,drawdown,sharpe,,Row Labels,Average of return,,,
1933,200,2.4,0.8,0.579983659,8.776938858,-0.173516634,,,,,,
1934,200,2.4,0.9,0.579983659,8.776938858,-0.173516634,,,,,,
1017,150,2.3,0.1,0.616997648,6.724588701,-0.185892254,,,,,,
1018,150,2.3,0.2,0.616997648,6.724588701,-0.185892254,,,,,,
1019,150,2.3,0.3,0.616997648,6.724588701,-0.185892254,,,,,,
1020,150,2.3,0.4,0.616997648,6.724588701,-0.185892254,,,,,,
1021,150,2.3,0.5,0.616997648,6.724588701,-0.185892254,,,,,,
1022,150,2.3,0.6,0.616997648,6.724588701,-0.185892254,,,,,,
1023,150,2.3,0.7,0.616997648,6.724588701,-0.185892254,,,,,,
1024,150,2.3,0.8,0.616997648,6.724588701,-0.185892254,,,,,,
1025,150,2.3,0.9,0.616997648,6.724588701,-0.185892254,,,,,,
1368,170,2.2,0.1,0.632083797,6.98128896,-0.186575403,,,,,,
1369,170,2.2,0.2,0.632083797,6.98128896,-0.186575403,,,,,,
1370,170,2.2,0.3,0.632083797,6.98128896,-0.186575403,,,,,,
1371,170,2.2,0.4,0.632083797,6.98128896,-0.186575403,,,,,,
1372,170,2.2,0.5,0.632083797,6.98128896,-0.186575403,,,,,,
1373,170,2.2,0.6,0.632083797,6.98128896,-0.186575403,,,,,,
1374,170,2.2,0.7,0.632083797,6.98128896,-0.186575403,,,,,,
1375,170,2.2,0.8,0.632083797,6.98128896,-0.186575403,,,,,,
1376,170,2.2,0.9,0.632083797,6.98128896,-0.186575403,,,,,,
1044,150,2.6,0.1,0.773447298,4.633427063,-0.190849926,,,,,,
1045,150,2.6,0.2,0.773447298,4.633427063,-0.190849926,,,,,,
1046,150,2.6,0.3,0.773447298,4.633427063,-0.190849926,,,,,,
1047,150,2.6,0.4,0.773447298,4.633427063,-0.190849926,,,,,,
1048,150,2.6,0.5,0.773447298,4.633427063,-0.190849926,,,,,,
1049,150,2.6,0.6,0.773447298,4.633427063,-0.190849926,,,,,,
1050,150,2.6,0.7,0.773447298,4.633427063,-0.190849926,,,,,,
1051,150,2.6,0.8,0.773447298,4.633427063,-0.190849926,,,,,,
1052,150,2.6,0.9,0.773447298,4.633427063,-0.190849926,,,,,,
1008,150,2.2,0.1,0.571984485,7.374330815,-0.196139704,,,,,,
1009,150,2.2,0.2,0.571984485,7.374330815,-0.196139704,,,,,,
1010,150,2.2,0.3,0.571984485,7.374330815,-0.196139704,,,,,,
1011,150,2.2,0.4,0.571984485,7.374330815,-0.196139704,,,,,,
1012,150,2.2,0.5,0.571984485,7.374330815,-0.196139704,,,,,,
1013,150,2.2,0.6,0.571984485,7.374330815,-0.196139704,,,,,,
1014,150,2.2,0.7,0.571984485,7.374330815,-0.196139704,,,,,,
1015,150,2.2,0.8,0.571984485,7.374330815,-0.196139704,,,,,,
1016,150,2.2,0.9,0.571984485,7.374330815,-0.196139704,,,,,,
2466,230,2.4,0.1,0.464611528,9.431949685,-0.202959824,,,,,,
2467,230,2.4,0.2,0.464611528,9.431949685,-0.202959824,,,,,,
2468,230,2.4,0.3,0.464611528,9.431949685,-0.202959824,,,,,,
2469,230,2.4,0.4,0.464611528,9.431949685,-0.202959824,,,,,,
2470,230,2.4,0.5,0.464611528,9.431949685,-0.202959824,,,,,,
2471,230,2.4,0.6,0.464611528,9.431949685,-0.202959824,,,,,,
2472,230,2.4,0.7,0.464611528,9.431949685,-0.202959824,,,,,,
2473,230,2.4,0.8,0.464611528,9.431949685,-0.202959824,,,,,,
2474,230,2.4,0.9,0.464611528,9.431949685,-0.202959824,,,,,,
1026,150,2.4,0.1,0.646299719,6.713083097,-0.209560416,,,,,,
1027,150,2.4,0.2,0.646299719,6.713083097,-0.209560416,,,,,,
1028,150,2.4,0.3,0.646299719,6.713083097,-0.209560416,,,,,,
1029,150,2.4,0.4,0.646299719,6.713083097,-0.209560416,,,,,,
1030,150,2.4,0.5,0.646299719,6.713083097,-0.209560416,,,,,,
1031,150,2.4,0.6,0.646299719,6.713083097,-0.209560416,,,,,,
1032,150,2.4,0.7,0.646299719,6.713083097,-0.209560416,,,,,,
1033,150,2.4,0.8,0.646299719,6.713083097,-0.209560416,,,,,,
1034,150,2.4,0.9,0.646299719,6.713083097,-0.209560416,,,,,,
2286,220,2.4,0.1,0.441565213,9.430092117,-0.21525524,,,,,,
2287,220,2.4,0.2,0.441565213,9.430092117,-0.21525524,,,,,,
2288,220,2.4,0.3,0.441565213,9.430092117,-0.21525524,,,,,,
2289,220,2.4,0.4,0.441565213,9.430092117,-0.21525524,,,,,,
2290,220,2.4,0.5,0.441565213,9.430092117,-0.21525524,,,,,,
2291,220,2.4,0.6,0.441565213,9.430092117,-0.21525524,,,,,,
2292,220,2.4,0.7,0.441565213,9.430092117,-0.21525524,,,,,,
2293,220,2.4,0.8,0.441565213,9.430092117,-0.21525524,,,,,,
2294,220,2.4,0.9,0.441565213,9.430092117,-0.21525524,,,,,,
2277,220,2.3,0.1,0.459047809,9.430092117,-0.221051004,,,,,,
2278,220,2.3,0.2,0.459047809,9.430092117,-0.221051004,,,,,,
2279,220,2.3,0.3,0.459047809,9.430092117,-0.221051004,,,,,,
2280,220,2.3,0.4,0.459047809,9.430092117,-0.221051004,,,,,,
2281,220,2.3,0.5,0.459047809,9.430092117,-0.221051004,,,,,,
2282,220,2.3,0.6,0.459047809,9.430092117,-0.221051004,,,,,,
2283,220,2.3,0.7,0.459047809,9.430092117,-0.221051004,,,,,,
2284,220,2.3,0.8,0.459047809,9.430092117,-0.221051004,,,,,,
2285,220,2.3,0.9,0.459047809,9.430092117,-0.221051004,,,,,,
2088,210,2.2,0.1,0.516522728,8.776613205,-0.221665761,,,,,,
2089,210,2.2,0.2,0.516522728,8.776613205,-0.221665761,,,,,,
2090,210,2.2,0.3,0.516522728,8.776613205,-0.221665761,,,,,,
2091,210,2.2,0.4,0.516522728,8.776613205,-0.221665761,,,,,,
2092,210,2.2,0.5,0.516522728,8.776613205,-0.221665761,,,,,,
2093,210,2.2,0.6,0.516522728,8.776613205,-0.221665761,,,,,,
2094,210,2.2,0.7,0.516522728,8.776613205,-0.221665761,,,,,,
2095,210,2.2,0.8,0.516522728,8.776613205,-0.221665761,,,,,,
2096,210,2.2,0.9,0.516522728,8.776613205,-0.221665761,,,,,,
1179,160,2.1,0.1,0.506138442,7.858256525,-0.222491783,,,,,,
1180,160,2.1,0.2,0.506138442,7.858256525,-0.222491783,,,,,,
1181,160,2.1,0.3,0.506138442,7.858256525,-0.222491783,,,,,,
1182,160,2.1,0.4,0.506138442,7.858256525,-0.222491783,,,,,,
1183,160,2.1,0.5,0.506138442,7.858256525,-0.222491783,,,,,,
1184,160,2.1,0.6,0.506138442,7.858256525,-0.222491783,,,,,,
1185,160,2.1,0.7,0.506138442,7.858256525,-0.222491783,,,,,,
1186,160,2.1,0.8,0.506138442,7.858256525,-0.222491783,,,,,,
1187,160,2.1,0.9,0.506138442,7.858256525,-0.222491783,,,,,,
1215,160,2.5,0.1,0.616543958,6.931971464,-0.230624061,,,,,,
1216,160,2.5,0.2,0.616543958,6.931971464,-0.230624061,,,,,,
1217,160,2.5,0.3,0.616543958,6.931971464,-0.230624061,,,,,,
1218,160,2.5,0.4,0.616543958,6.931971464,-0.230624061,,,,,,
1219,160,2.5,0.5,0.616543958,6.931971464,-0.230624061,,,,,,
1220,160,2.5,0.6,0.616543958,6.931971464,-0.230624061,,,,,,
1221,160,2.5,0.7,0.616543958,6.931971464,-0.230624061,,,,,,
1222,160,2.5,0.8,0.616543958,6.931971464,-0.230624061,,,,,,
1223,160,2.5,0.9,0.616543958,6.931971464,-0.230624061,,,,,,
1917,200,2.3,0.1,0.476853233,8.776938858,-0.244294056,,,,,,
1918,200,2.3,0.2,0.476853233,8.776938858,-0.244294056,,,,,,
1919,200,2.3,0.3,0.476853233,8.776938858,-0.244294056,,,,,,
1920,200,2.3,0.4,0.476853233,8.776938858,-0.244294056,,,,,,
1921,200,2.3,0.5,0.476853233,8.776938858,-0.244294056,,,,,,
