<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.03	03:00:00	1.08613	1.08819	1.08570	1.08749	1895	0	12
2014.01.03	04:00:00	1.08747	1.08853	1.08604	1.08749	1811	0	1
2014.01.03	05:00:00	1.08749	1.09048	1.08730	1.08904	1681	0	5
2014.01.03	06:00:00	1.08904	1.08938	1.08790	1.08813	1647	0	6
2014.01.03	07:00:00	1.08814	1.08874	1.08770	1.08782	1140	0	12
2014.01.03	08:00:00	1.08782	1.08796	1.08624	1.08672	1969	0	3
2014.01.03	09:00:00	1.08671	1.08838	1.08666	1.08713	2916	0	6
2014.01.03	10:00:00	1.08713	1.08773	1.08574	1.08672	2403	0	9
2014.01.03	11:00:00	1.08670	1.08741	1.08620	1.08696	1991	0	8
2014.01.03	12:00:00	1.08695	1.08719	1.08457	1.08470	2144	0	7
2014.01.03	13:00:00	1.08467	1.08492	1.08349	1.08349	2088	0	5
2014.01.03	14:00:00	1.08349	1.08499	1.08336	1.08470	2663	0	12
2014.01.03	15:00:00	1.08471	1.08471	1.08243	1.08420	3042	0	10
2014.01.03	16:00:00	1.08421	1.08484	1.08216	1.08237	2951	0	10
2014.01.03	17:00:00	1.08236	1.08294	1.08182	1.08196	2396	0	9
2014.01.03	18:00:00	1.08194	1.08260	1.08182	1.08253	1704	0	15
2014.01.03	19:00:00	1.08253	1.08289	1.08190	1.08211	1131	0	18
2014.01.03	20:00:00	1.08212	1.08253	1.08154	1.08191	1138	0	12
2014.01.03	21:00:00	1.08191	1.08224	1.08009	1.08031	1440	0	8
2014.01.03	22:00:00	1.08032	1.08128	1.08032	1.08059	793	0	23
2014.01.06	00:00:00	1.08267	1.08463	1.08207	1.08439	1797	0	3
2014.01.06	01:00:00	1.08433	1.08599	1.08404	1.08528	1760	0	5
2014.01.06	02:00:00	1.08528	1.08592	1.08376	1.08482	2120	0	5
2014.01.06	03:00:00	1.08482	1.08545	1.08402	1.08421	1817	0	4
2014.01.06	04:00:00	1.08421	1.08447	1.08313	1.08363	1367	0	6
2014.01.06	05:00:00	1.08363	1.08429	1.08334	1.08354	1042	0	8
2014.01.06	06:00:00	1.08354	1.08468	1.08340	1.08350	1067	0	10
