<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.02.17	1.08154	1.08205	1.07832	1.07986	27702	0	1
2014.02.18	1.07988	1.08845	1.07874	1.08647	39594	0	1
2014.02.19	1.08650	1.08899	1.08339	1.08775	39075	0	1
2014.02.20	1.08779	1.08858	1.08130	1.08519	41709	0	2
2014.02.21	1.08520	1.08544	1.08153	1.08323	32061	0	4
2014.02.24	1.08360	1.08573	1.08158	1.08480	37068	0	2
2014.02.25	1.08480	1.08509	1.08049	1.08259	34606	0	3
2014.02.26	1.08259	1.08286	1.07717	1.07822	37930	0	6
2014.02.27	1.07864	1.07921	1.06699	1.07134	43079	0	3
2014.02.28	1.07136	1.07176	1.06279	1.06364	39630	0	1
2014.03.03	1.06541	1.06823	1.06409	1.06738	35108	0	1
2014.03.04	1.06740	1.07200	1.06561	1.06775	35005	0	4
2014.03.05	1.06776	1.07153	1.06553	1.06749	37656	0	5
2014.03.06	1.06746	1.07316	1.06663	1.07153	42826	0	1
2014.03.07	1.07142	1.07589	1.06919	1.06949	44146	0	3
2014.03.10	1.06894	1.07029	1.06385	1.06527	52441	0	3
2014.03.11	1.06529	1.06621	1.05835	1.06024	54243	0	2
2014.03.12	1.06024	1.06459	1.05372	1.05547	69617	0	1
2014.03.13	1.05547	1.06146	1.05511	1.05808	81739	0	1
2014.03.14	1.05812	1.05846	1.05451	1.05731	61394	0	2
2014.03.17	1.05720	1.06152	1.05596	1.06066	52792	0	4
2014.03.18	1.06066	1.06188	1.05684	1.05928	65533	0	2
2014.03.19	1.05931	1.06009	1.05413	1.05841	69293	0	1
2014.03.20	1.05843	1.06007	1.05584	1.05893	62450	0	3
2014.03.21	1.05893	1.06478	1.05869	1.06316	46257	0	4
2014.03.24	1.06538	1.06889	1.06044	1.06820	56867	0	1
2014.03.25	1.06820	1.07158	1.06679	1.06862	50089	0	2
2014.03.26	1.06862	1.07389	1.06578	1.07219	61675	0	1
2014.03.27	1.07224	1.07290	1.06418	1.06794	57454	0	3
2014.03.28	1.06797	1.06984	1.06449	1.06749	48004	0	1
2014.03.31	1.06814	1.06955	1.06505	1.06839	51600	0	1
2014.04.01	1.06834	1.07152	1.06441	1.07111	49731	0	1
